Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales
11.8,Regular,0.025904648,Meat,102.4674,OUT013,29,High,Tier 3,Supermarket Type1,2037.348
20.6,Regular,0.080235512,Fruits and Vegetables,188.9556,OUT010,18,Medium,Tier 3,Grocery Store,563.2668
9.8,Low Fat,0.013830218,Soft Drinks,45.306,OUT013,29,High,Tier 3,Supermarket Type1,1304.968
18.6,Low Fat,0.076855628,Snack Foods,161.0236,OUT046,19,Small,Tier 1,Supermarket Type1,483.3708
13,Low Fat,0.041824524,Household,256.7014,OUT046,19,Small,Tier 1,Supermarket Type1,2805.0154
20.7,Regular,0.12152072,Frozen Foods,118.0466,OUT046,19,Small,Tier 1,Supermarket Type1,1060.6194
9.8,Regular,0.073289899,Snack Foods,120.8098,OUT017,9,Medium,Tier 2,Supermarket Type1,1325.6078
9.5,Regular,0.022054553,Meat,195.4452,OUT035,12,Small,Tier 2,Supermarket Type1,4502.1396
21.1,Low Fat,0.029054046,Household,144.6786,OUT049,17,Medium,Tier 1,Supermarket Type1,2889.572
8.975,Regular,0.009057132,Canned,104.099,OUT035,12,Small,Tier 2,Supermarket Type1,2476.776
4.92,Low Fat,0.045955031,Baking Goods,199.1084,OUT046,19,Small,Tier 1,Supermarket Type1,2182.4924
17.5,Regular,0.007551607,Dairy,145.8102,OUT049,17,Medium,Tier 1,Supermarket Type1,1895.5326
9.695,Regular,0.047503318,Frozen Foods,244.6144,OUT049,17,Medium,Tier 1,Supermarket Type1,3185.1872
7.725,Low Fat,0.048661041,Household,123.7414,OUT010,18,Medium,Tier 3,Grocery Store,121.8414
9.6,Low Fat,0.006692529,Household,164.9184,OUT013,29,High,Tier 3,Supermarket Type1,2972.1312
9.1,Regular,0.136695145,Breads,173.4054,OUT010,18,Medium,Tier 3,Grocery Store,875.527
17,Regular,0.140311123,Canned,265.6884,OUT017,9,Medium,Tier 2,Supermarket Type1,2649.884
14,Regular,0.031330907,Canned,52.364,OUT045,14,Medium,Tier 2,Supermarket Type1,745.696
12.1,Regular,0.061521569,Soft Drinks,55.8614,OUT017,9,Medium,Tier 2,Supermarket Type1,1436.7964
19.85,Low Fat,0.176991029,Fruits and Vegetables,221.5772,OUT017,9,Medium,Tier 2,Supermarket Type1,3558.0352
17.2,Regular,0.0120098,Canned,163.1184,OUT035,12,Small,Tier 2,Supermarket Type1,2807.0128
8.71,Regular,0.072141818,Canned,183.3924,OUT035,12,Small,Tier 2,Supermarket Type1,2776.386
6.89,Regular,0.136984147,Snack Foods,192.682,OUT018,7,Medium,Tier 3,Supermarket Type2,2703.148
18.75,Low Fat,0,Dairy,97.9042,OUT045,14,Medium,Tier 2,Supermarket Type1,1686.4714
14.5,Low Fat,0,Canned,154.4682,OUT013,29,High,Tier 3,Supermarket Type1,1524.682
20.75,Low Fat,0,Health and Hygiene,149.4734,OUT013,29,High,Tier 3,Supermarket Type1,2969.468
17.6,Low Fat,0.010031539,Snack Foods,161.5552,OUT013,29,High,Tier 3,Supermarket Type1,1787.0072
16.85,Low Fat,0.036383293,Snack Foods,91.0488,OUT035,12,Small,Tier 2,Supermarket Type1,1086.5856
20.6,Regular,0,Snack Foods,178.1344,OUT035,12,Small,Tier 2,Supermarket Type1,3568.688
5.175,Low Fat,0.03736783,Canned,86.9224,OUT013,29,High,Tier 3,Supermarket Type1,255.6672
17.85,Low Fat,0.087604647,Breads,196.9794,OUT049,17,Medium,Tier 1,Supermarket Type1,1560.6352
8.93,Low Fat,0.028461453,Dairy,152.234,OUT049,17,Medium,Tier 1,Supermarket Type1,5053.422
7.655,Low Fat,0.031938828,Canned,114.1492,OUT035,12,Small,Tier 2,Supermarket Type1,1158.492
18.35,Low Fat,0.014024028,Household,224.5746,OUT046,19,Small,Tier 1,Supermarket Type1,2692.4952
14,Low Fat,0.023730384,Baking Goods,104.3332,OUT035,12,Small,Tier 2,Supermarket Type1,1435.4648
11.6,Low Fat,0.038578846,Dairy,56.1272,OUT049,17,Medium,Tier 1,Supermarket Type1,671.1264
15.85,Low Fat,0.108036187,Soft Drinks,57.3904,OUT018,7,Medium,Tier 3,Supermarket Type2,703.0848
10.5,Regular,0.013572808,Snack Foods,143.2154,OUT017,9,Medium,Tier 2,Supermarket Type1,1559.9694
16.7,Regular,0.06082402,Baking Goods,98.7384,OUT013,29,High,Tier 3,Supermarket Type1,1773.6912
17.6,Low Fat,0.074345142,Household,230.901,OUT013,29,High,Tier 3,Supermarket Type1,4364.319
18.25,Low Fat,0.075501241,Snack Foods,123.1046,OUT018,7,Medium,Tier 3,Supermarket Type2,249.0092
21.1,Regular,0.16216286,Fruits and Vegetables,62.2168,OUT018,7,Medium,Tier 3,Supermarket Type2,383.5008
9.1,Regular,0.081652352,Breads,177.0054,OUT035,12,Small,Tier 2,Supermarket Type1,2101.2648
15.25,Low Fat,0.061434045,Household,130.9968,OUT018,7,Medium,Tier 3,Supermarket Type2,2348.9424
14.35,Low Fat,0.017073332,Health and Hygiene,109.5228,OUT045,14,Medium,Tier 2,Supermarket Type1,1657.842
5.885,Regular,0.092694107,Canned,53.6982,OUT013,29,High,Tier 3,Supermarket Type1,1525.3478
16.1,Low Fat,0.065183228,Dairy,148.076,OUT046,19,Small,Tier 1,Supermarket Type1,1464.76
19.7,Low Fat,0.024635077,Soft Drinks,84.1592,OUT013,29,High,Tier 3,Supermarket Type1,1073.2696
11.5,Regular,0.126313413,Frozen Foods,100.6358,OUT017,9,Medium,Tier 2,Supermarket Type1,2010.716
16.5,Regular,0.066383907,Breakfast,180.4292,OUT045,14,Medium,Tier 2,Supermarket Type1,2189.1504
15.15,Regular,0.066279832,Frozen Foods,147.876,OUT049,17,Medium,Tier 1,Supermarket Type1,4540.756
12.15,Regular,0.042681522,Meat,184.295,OUT046,19,Small,Tier 1,Supermarket Type1,2014.045
15.7,Regular,0,Fruits and Vegetables,112.4544,OUT013,29,High,Tier 3,Supermarket Type1,1230.3984
11.6,Low Fat,0.038736838,Dairy,55.8272,OUT017,9,Medium,Tier 2,Supermarket Type1,1454.1072
12.85,Low Fat,0.098910759,Frozen Foods,37.6164,OUT013,29,High,Tier 3,Supermarket Type1,308.9312
15,Low Fat,0.049178998,Soft Drinks,65.6168,OUT045,14,Medium,Tier 2,Supermarket Type1,639.168
11,Regular,0.057011062,Fruits and Vegetables,241.9512,OUT013,29,High,Tier 3,Supermarket Type1,2908.2144
5.88,Low Fat,0.003589104,Hard Drinks,155.5998,OUT013,29,High,Tier 3,Supermarket Type1,1691.7978
7.825,Low Fat,0,Household,253.4698,OUT017,9,Medium,Tier 2,Supermarket Type1,6849.0846
10.695,Regular,0.10154201,Breakfast,173.7712,OUT010,18,Medium,Tier 3,Grocery Store,175.7712
13.6,Regular,0.119077255,Dairy,231.23,OUT013,29,High,Tier 3,Supermarket Type1,2330.3
8.06,Low Fat,0.021497594,Breakfast,230.3326,OUT017,9,Medium,Tier 2,Supermarket Type1,1386.1956
7.105,Low Fat,0.075000682,Household,61.0562,OUT010,18,Medium,Tier 3,Grocery Store,296.281
18.6,Low Fat,0.118419683,Others,58.3588,OUT045,14,Medium,Tier 2,Supermarket Type1,1545.9876
9.5,Regular,0.035151215,Fruits and Vegetables,171.8448,OUT046,19,Small,Tier 1,Supermarket Type1,2556.672
16.85,Low Fat,0.044414056,Fruits and Vegetables,182.4266,OUT046,19,Small,Tier 1,Supermarket Type1,2028.6926
17.85,Low Fat,0.052471995,Snack Foods,123.7072,OUT017,9,Medium,Tier 2,Supermarket Type1,2450.144
13.1,Low Fat,0.020853376,Dairy,117.4782,OUT013,29,High,Tier 3,Supermarket Type1,1906.8512
11.3,Low Fat,0.047791878,Household,180.766,OUT049,17,Medium,Tier 1,Supermarket Type1,5033.448
13.3,Low Fat,0.02136022,Baking Goods,120.4124,OUT018,7,Medium,Tier 3,Supermarket Type2,1777.686
15.2,Regular,0.103988736,Fruits and Vegetables,177.0054,OUT045,14,Medium,Tier 2,Supermarket Type1,3677.2134
20.7,Regular,0.114581955,Dairy,94.3436,OUT018,7,Medium,Tier 3,Supermarket Type2,945.436
7.405,Low Fat,0.02556185,Canned,89.7146,OUT010,18,Medium,Tier 3,Grocery Store,182.4292
6.15,Low Fat,0.046459438,Baking Goods,100.5384,OUT018,7,Medium,Tier 3,Supermarket Type2,1675.1528
11.35,Regular,0.023322478,Dairy,182.5608,OUT046,19,Small,Tier 1,Supermarket Type1,3307.6944
19.85,Low Fat,0.175962247,Fruits and Vegetables,223.0772,OUT035,12,Small,Tier 2,Supermarket Type1,1779.0176
8.18,Regular,0.082333019,Frozen Foods,58.1588,OUT013,29,High,Tier 3,Supermarket Type1,343.5528
12.15,Low Fat,0.021757269,Breads,165.0184,OUT049,17,Medium,Tier 1,Supermarket Type1,3302.368
6.03,Low Fat,0.0226994,Dairy,176.4028,OUT035,12,Small,Tier 2,Supermarket Type1,4250.4672
15.85,Regular,0.110653377,Frozen Foods,36.9506,OUT017,9,Medium,Tier 2,Supermarket Type1,759.012
18.6,Low Fat,0.065771529,Frozen Foods,245.7802,OUT010,18,Medium,Tier 3,Grocery Store,245.6802
12,Low Fat,0,Health and Hygiene,262.3278,OUT017,9,Medium,Tier 2,Supermarket Type1,1561.9668
17.1,Low Fat,0,Household,114.686,OUT018,7,Medium,Tier 3,Supermarket Type2,1358.232
10.5,Regular,0.024991056,Fruits and Vegetables,217.9508,OUT046,19,Small,Tier 1,Supermarket Type1,2821.6604
17.5,Low Fat,0.013658248,Frozen Foods,256.3304,OUT049,17,Medium,Tier 1,Supermarket Type1,6199.9296
16.1,Low Fat,0.034278413,Fruits and Vegetables,255.2356,OUT013,29,High,Tier 3,Supermarket Type1,6867.0612
20.1,Low Fat,0,Health and Hygiene,61.3536,OUT010,18,Medium,Tier 3,Grocery Store,183.7608
7.55,Regular,0.051794958,Fruits and Vegetables,122.6072,OUT010,18,Medium,Tier 3,Grocery Store,122.5072
19.25,Regular,0.027058066,Meat,194.811,OUT013,29,High,Tier 3,Supermarket Type1,2749.754
19.6,Regular,0.041740902,Frozen Foods,49.2376,OUT018,7,Medium,Tier 3,Supermarket Type2,958.752
14.85,Regular,0.035400659,Fruits and Vegetables,161.9578,OUT018,7,Medium,Tier 3,Supermarket Type2,1444.1202
14.65,Regular,0.099535996,Snack Foods,52.2666,OUT018,7,Medium,Tier 3,Supermarket Type2,615.1992
9.3,Low Fat,0.175336471,Snack Foods,107.0964,OUT017,9,Medium,Tier 2,Supermarket Type1,1472.7496
14.5,Low Fat,0.01950565,Others,163.921,OUT049,17,Medium,Tier 1,Supermarket Type1,2446.815
8.365,Low Fat,0.071846495,Hard Drinks,37.9506,OUT046,19,Small,Tier 1,Supermarket Type1,569.259
12.85,Regular,0,Fruits and Vegetables,252.3382,OUT046,19,Small,Tier 1,Supermarket Type1,4794.4258
13.5,Regular,0.017887238,Snack Foods,79.496,OUT049,17,Medium,Tier 1,Supermarket Type1,1438.128
7.365,Low Fat,0.159967845,Snack Foods,94.712,OUT046,19,Small,Tier 1,Supermarket Type1,1304.968
21.1,Regular,0.020718655,Breakfast,130.4994,OUT046,19,Small,Tier 1,Supermarket Type1,2184.4898
9.5,Low Fat,0.074460855,Snack Foods,253.6724,OUT049,17,Medium,Tier 1,Supermarket Type1,5033.448
12.85,Low Fat,0.030789914,Starchy Foods,254.904,OUT017,9,Medium,Tier 2,Supermarket Type1,3036.048
14,Low Fat,0.030216783,Fruits and Vegetables,216.6192,OUT018,7,Medium,Tier 3,Supermarket Type2,3020.0688
18.35,Regular,0.094279004,Fruits and Vegetables,86.3882,OUT035,12,Small,Tier 2,Supermarket Type1,1545.9876
7.155,Regular,0.168527463,Breads,33.6874,OUT045,14,Medium,Tier 2,Supermarket Type1,1023.3346
5.82,Regular,0.077304459,Fruits and Vegetables,257.633,OUT035,12,Small,Tier 2,Supermarket Type1,4613.994
17.75,Low Fat,0,Others,108.6912,OUT018,7,Medium,Tier 3,Supermarket Type2,1201.1032
18,Regular,0.142570104,Fruits and Vegetables,88.2514,OUT013,29,High,Tier 3,Supermarket Type1,1505.3738
7.06,Regular,0.043968652,Starchy Foods,57.6904,OUT049,17,Medium,Tier 1,Supermarket Type1,585.904
15.6,Low Fat,0.045076878,Dairy,241.3854,OUT045,14,Medium,Tier 2,Supermarket Type1,2900.2248
12.3,Low Fat,0.052492122,Household,191.053,OUT035,12,Small,Tier 2,Supermarket Type1,3415.554
15,Regular,0.077999504,Meat,238.0248,OUT035,12,Small,Tier 2,Supermarket Type1,1896.1984
18.2,Low Fat,0.012597384,Snack Foods,141.218,OUT013,29,High,Tier 3,Supermarket Type1,2936.178
20.5,Low Fat,0.023179181,Others,154.034,OUT049,17,Medium,Tier 1,Supermarket Type1,2450.144
8.27,Regular,0.128126825,Soft Drinks,183.6924,OUT049,17,Medium,Tier 1,Supermarket Type1,1295.6468
8.93,Low Fat,0.028417272,Dairy,154.534,OUT046,19,Small,Tier 1,Supermarket Type1,2603.278
6.215,Regular,0.049902382,Baking Goods,225.8062,OUT017,9,Medium,Tier 2,Supermarket Type1,3159.8868
20.25,Regular,0.014823358,Dairy,190.7162,OUT045,14,Medium,Tier 2,Supermarket Type1,1154.4972
7.895,Regular,0.061424738,Breakfast,57.7588,OUT018,7,Medium,Tier 3,Supermarket Type2,1145.176
19.35,Regular,0.049594299,Fruits and Vegetables,77.0644,OUT013,29,High,Tier 3,Supermarket Type1,2278.3676
9.695,Low Fat,0.113939434,Health and Hygiene,160.2604,OUT046,19,Small,Tier 1,Supermarket Type1,1901.5248
8.21,Low Fat,0.045016894,Dairy,87.6198,OUT045,14,Medium,Tier 2,Supermarket Type1,1133.8574
7.3,Low Fat,0.086307051,Frozen Foods,146.8076,OUT045,14,Medium,Tier 2,Supermarket Type1,1330.2684
20,Regular,0.104083376,Canned,107.4622,OUT046,19,Small,Tier 1,Supermarket Type1,3705.177
7.865,Low Fat,0.061154604,Breakfast,165.3526,OUT049,17,Medium,Tier 1,Supermarket Type1,1151.1682
20.35,Regular,0.024815024,Fruits and Vegetables,234.0958,OUT010,18,Medium,Tier 3,Grocery Store,467.3916
16,Regular,0.106918052,Baking Goods,183.5634,OUT049,17,Medium,Tier 1,Supermarket Type1,4725.8484
18,Low Fat,0,Health and Hygiene,158.0604,OUT049,17,Medium,Tier 1,Supermarket Type1,3327.6684
18.7,Low Fat,0.105104552,Frozen Foods,121.7072,OUT018,7,Medium,Tier 3,Supermarket Type2,1347.5792
10.6,Low Fat,0.056795923,Dairy,232.8642,OUT046,19,Small,Tier 1,Supermarket Type1,3485.463
5.655,Low Fat,0.176070535,Soft Drinks,144.0102,OUT017,9,Medium,Tier 2,Supermarket Type1,1749.7224
10.195,Low Fat,0.051871718,Breads,35.3558,OUT018,7,Medium,Tier 3,Supermarket Type2,237.6906
8.06,Low Fat,0.035780177,Breakfast,230.2326,OUT010,18,Medium,Tier 3,Grocery Store,693.0978
16.35,Regular,0.104463896,Fruits and Vegetables,227.1062,OUT010,18,Medium,Tier 3,Grocery Store,225.7062
6.46,Regular,0.049162885,Fruits and Vegetables,146.9102,OUT046,19,Small,Tier 1,Supermarket Type1,1895.5326
13.5,Low Fat,0.072655379,Household,157.792,OUT035,12,Small,Tier 2,Supermarket Type1,3994.8
16.2,Low Fat,0.050442528,Household,190.8162,OUT045,14,Medium,Tier 2,Supermarket Type1,2693.8268
19.1,Low Fat,0.177992139,Household,173.1422,OUT018,7,Medium,Tier 3,Supermarket Type2,2931.5174
5.48,Low Fat,0.015131684,Frozen Foods,83.025,OUT049,17,Medium,Tier 1,Supermarket Type1,1414.825
6.055,Low Fat,0.031151714,Fruits and Vegetables,158.7578,OUT049,17,Medium,Tier 1,Supermarket Type1,2085.9514
9.6,Low Fat,0.024456797,Health and Hygiene,186.6214,OUT013,29,High,Tier 3,Supermarket Type1,3203.1638
6.135,Low Fat,0.192540665,Soft Drinks,160.2236,OUT010,18,Medium,Tier 3,Grocery Store,322.2472
8.43,Low Fat,0.01732573,Soft Drinks,197.9768,OUT046,19,Small,Tier 1,Supermarket Type1,1182.4608
8.27,Regular,0.127821472,Soft Drinks,185.9924,OUT013,29,High,Tier 3,Supermarket Type1,555.2772
10.195,Regular,0.012477512,Meat,197.111,OUT049,17,Medium,Tier 1,Supermarket Type1,785.644
14,Low Fat,0.028980533,Health and Hygiene,129.531,OUT018,7,Medium,Tier 3,Supermarket Type2,2077.296
8.01,Low Fat,0.070356805,Hard Drinks,36.8532,OUT049,17,Medium,Tier 1,Supermarket Type1,755.0172
16.25,Low Fat,0.057396092,Fruits and Vegetables,125.8046,OUT046,19,Small,Tier 1,Supermarket Type1,747.0276
13.35,Low Fat,0.048017962,Breads,219.6166,OUT035,12,Small,Tier 2,Supermarket Type1,3483.4656
17.75,Low Fat,0.05507343,Fruits and Vegetables,145.1444,OUT046,19,Small,Tier 1,Supermarket Type1,1886.8772
13.5,Low Fat,0,Baking Goods,88.054,OUT013,29,High,Tier 3,Supermarket Type1,1211.756
11.8,Regular,0,Meat,102.4674,OUT010,18,Medium,Tier 3,Grocery Store,203.7348
5.78,Low Fat,0.014577695,Soft Drinks,147.2102,OUT049,17,Medium,Tier 1,Supermarket Type1,1895.5326
9,Regular,0,Breakfast,55.2614,OUT018,7,Medium,Tier 3,Supermarket Type2,552.614
17.75,Regular,0.156831826,Dairy,241.0538,OUT046,19,Small,Tier 1,Supermarket Type1,1201.769
8.395,Low Fat,0,Snack Foods,98.7042,OUT013,29,High,Tier 3,Supermarket Type1,892.8378
12.85,Low Fat,0,Starchy Foods,253.004,OUT018,7,Medium,Tier 3,Supermarket Type2,3795.06
8.5,Low Fat,0.098036903,Canned,51.5324,OUT049,17,Medium,Tier 1,Supermarket Type1,882.8508
14,Low Fat,0,Fruits and Vegetables,216.9192,OUT017,9,Medium,Tier 2,Supermarket Type1,6471.576
9.3,Low Fat,0.042377219,Hard Drinks,123.7388,OUT045,14,Medium,Tier 2,Supermarket Type1,1609.9044
15.85,Low Fat,0.107597879,Soft Drinks,58.7904,OUT046,19,Small,Tier 1,Supermarket Type1,585.904
10.8,Low Fat,0.082549896,Dairy,193.7504,OUT046,19,Small,Tier 1,Supermarket Type1,4602.0096
7.26,Low Fat,0.02414202,Meat,117.415,OUT010,18,Medium,Tier 3,Grocery Store,466.06
18.7,Low Fat,0.057771828,Dairy,85.3566,OUT018,7,Medium,Tier 3,Supermarket Type2,591.8962
16,Low Fat,0.057292529,Dairy,224.3404,OUT018,7,Medium,Tier 3,Supermarket Type2,4500.808
8.895,Low Fat,0.124610886,Household,113.1544,OUT013,29,High,Tier 3,Supermarket Type1,4250.4672
11.1,Low Fat,0.010663189,Canned,82.3908,OUT045,14,Medium,Tier 2,Supermarket Type1,1342.2528
18.85,Low Fat,0.091237452,Hard Drinks,128.9336,OUT018,7,Medium,Tier 3,Supermarket Type2,1278.336
7.905,Low Fat,0.064325351,Hard Drinks,230.2694,OUT018,7,Medium,Tier 3,Supermarket Type2,3197.1716
14.7,Low Fat,0.020920179,Hard Drinks,143.8128,OUT046,19,Small,Tier 1,Supermarket Type1,3020.0688
12.6,Regular,0.041641933,Fruits and Vegetables,121.1072,OUT045,14,Medium,Tier 2,Supermarket Type1,980.0576
16,Regular,0.173462841,Snack Foods,157.6972,OUT018,7,Medium,Tier 3,Supermarket Type2,2960.1468
13.35,Low Fat,0.038744606,Snack Foods,239.3564,OUT017,9,Medium,Tier 2,Supermarket Type1,3098.6332
20.1,Low Fat,0.124910635,Dairy,109.6228,OUT010,18,Medium,Tier 3,Grocery Store,110.5228
8.185,Low Fat,0.046673494,Fruits and Vegetables,48.4692,OUT018,7,Medium,Tier 3,Supermarket Type2,591.2304
9.195,Low Fat,0.048134591,Household,107.7622,OUT049,17,Medium,Tier 1,Supermarket Type1,529.311
19.1,Low Fat,0.038720852,Fruits and Vegetables,210.8586,OUT018,7,Medium,Tier 3,Supermarket Type2,6331.758
12.85,Low Fat,0.12241394,Snack Foods,42.9428,OUT017,9,Medium,Tier 2,Supermarket Type1,703.0848
11.15,Low Fat,0.032321608,Health and Hygiene,165.6526,OUT045,14,Medium,Tier 2,Supermarket Type1,1315.6208
9.8,Low Fat,0.026139404,Snack Foods,216.785,OUT045,14,Medium,Tier 2,Supermarket Type1,1947.465
10.195,Low Fat,0,Hard Drinks,114.086,OUT046,19,Small,Tier 1,Supermarket Type1,1810.976
12,Low Fat,0.034166609,Canned,181.2976,OUT017,9,Medium,Tier 2,Supermarket Type1,5070.7328
16.7,Regular,0.03858813,Snack Foods,144.6102,OUT049,17,Medium,Tier 1,Supermarket Type1,3353.6346
17.1,Low Fat,0.032628111,Frozen Foods,148.7392,OUT046,19,Small,Tier 1,Supermarket Type1,1640.5312
16.7,Regular,0.038528228,Snack Foods,143.9102,OUT046,19,Small,Tier 1,Supermarket Type1,1749.7224
19.35,Low Fat,0.016705436,Frozen Foods,120.8098,OUT017,9,Medium,Tier 2,Supermarket Type1,3374.2744
19.2,Low Fat,0.058893461,Snack Foods,178.9318,OUT010,18,Medium,Tier 3,Grocery Store,180.4318
18.25,Low Fat,0.054234197,Snack Foods,142.0154,OUT046,19,Small,Tier 1,Supermarket Type1,2269.0464
16.75,Low Fat,0.12961476,Breads,86.1856,OUT017,9,Medium,Tier 2,Supermarket Type1,1406.1696
17.1,Low Fat,0.054612768,Frozen Foods,150.2392,OUT010,18,Medium,Tier 3,Grocery Store,596.5568
13,Regular,0.030150193,Canned,61.422,OUT045,14,Medium,Tier 2,Supermarket Type1,539.298
7.17,Regular,0.059849153,Fruits and Vegetables,129.4968,OUT045,14,Medium,Tier 2,Supermarket Type1,3392.9168
19.85,Regular,0.034942397,Snack Foods,61.9194,OUT010,18,Medium,Tier 3,Grocery Store,123.8388
4.615,Regular,0.102038294,Canned,231.93,OUT045,14,Medium,Tier 2,Supermarket Type1,2563.33
7.63,Regular,0.135258515,Snack Foods,47.2402,OUT018,7,Medium,Tier 3,Supermarket Type2,918.804
8.39,Low Fat,0.120396991,Household,163.4868,OUT013,29,High,Tier 3,Supermarket Type1,4586.0304
5.175,Low Fat,0.030527166,Health and Hygiene,33.5874,OUT017,9,Medium,Tier 2,Supermarket Type1,635.1732
16,Low Fat,0.099053537,Household,212.6902,OUT013,29,High,Tier 3,Supermarket Type1,637.1706
9.5,Regular,0.048883854,Starchy Foods,185.7898,OUT018,7,Medium,Tier 3,Supermarket Type2,2619.2572
10.895,Low Fat,0.035893143,Fruits and Vegetables,131.3284,OUT018,7,Medium,Tier 3,Supermarket Type2,1318.284
17.2,Regular,0.012012071,Canned,163.1184,OUT046,19,Small,Tier 1,Supermarket Type1,4623.3152
19.85,Low Fat,0.045855273,Fruits and Vegetables,127.102,OUT018,7,Medium,Tier 3,Supermarket Type2,1771.028
6.385,Low Fat,0.14032811,Hard Drinks,109.1596,OUT010,18,Medium,Tier 3,Grocery Store,107.8596
11.65,Low Fat,0.019402371,Hard Drinks,38.7164,OUT049,17,Medium,Tier 1,Supermarket Type1,579.246
12.85,Low Fat,0,Snack Foods,155.463,OUT035,12,Small,Tier 2,Supermarket Type1,4068.038
17.7,Regular,0.042716709,Frozen Foods,163.221,OUT017,9,Medium,Tier 2,Supermarket Type1,1794.331
9.1,Regular,0.081794766,Breads,173.6054,OUT049,17,Medium,Tier 1,Supermarket Type1,700.4216
15.5,Regular,0.125942816,Fruits and Vegetables,176.0028,OUT045,14,Medium,Tier 2,Supermarket Type1,1239.7196
16.35,Low Fat,0,Household,127.902,OUT017,9,Medium,Tier 2,Supermarket Type1,2150.534
10.695,Regular,0.011472001,Snack Foods,75.2038,OUT018,7,Medium,Tier 3,Supermarket Type2,517.3266
16.6,Low Fat,0.103146658,Fruits and Vegetables,117.2466,OUT049,17,Medium,Tier 1,Supermarket Type1,2239.0854
13.15,Regular,0.166032929,Fruits and Vegetables,170.8764,OUT018,7,Medium,Tier 3,Supermarket Type2,2233.0932
11.5,Regular,0.04224015,Frozen Foods,194.982,OUT017,9,Medium,Tier 2,Supermarket Type1,3089.312
5.63,Regular,0.024536636,Meat,106.1306,OUT035,12,Small,Tier 2,Supermarket Type1,2090.612
19.2,Regular,0.085296625,Canned,153.4314,OUT018,7,Medium,Tier 3,Supermarket Type2,1861.5768
6.695,Low Fat,0,Frozen Foods,219.4456,OUT046,19,Small,Tier 1,Supermarket Type1,3094.6384
15.75,Low Fat,0.054930533,Baking Goods,194.4452,OUT046,19,Small,Tier 1,Supermarket Type1,5089.3752
12.5,Low Fat,0.031097948,Fruits and Vegetables,103.899,OUT049,17,Medium,Tier 1,Supermarket Type1,1960.781
21.25,Low Fat,0.016735879,Meat,185.2608,OUT010,18,Medium,Tier 3,Grocery Store,183.7608
18.85,Low Fat,0.168266556,Household,195.5136,OUT018,7,Medium,Tier 3,Supermarket Type2,1749.7224
20.1,Low Fat,0.034646067,Household,120.6782,OUT035,12,Small,Tier 2,Supermarket Type1,1310.9602
11.395,Low Fat,0.021639678,Health and Hygiene,150.1708,OUT049,17,Medium,Tier 1,Supermarket Type1,2708.4744
9.3,Low Fat,0.11144608,Breads,64.6826,OUT045,14,Medium,Tier 2,Supermarket Type1,1097.9042
12.8,Low Fat,0.152377658,Others,108.1938,OUT010,18,Medium,Tier 3,Grocery Store,428.7752
6.8,Low Fat,0.037465846,Baking Goods,47.5034,OUT013,29,High,Tier 3,Supermarket Type1,534.6374
15,Regular,0.0268952,Baking Goods,220.3456,OUT045,14,Medium,Tier 2,Supermarket Type1,1989.4104
19.85,Regular,0.081916124,Breads,167.6816,OUT017,9,Medium,Tier 2,Supermarket Type1,1845.5976
7.85,Low Fat,0.163233667,Hard Drinks,144.6444,OUT049,17,Medium,Tier 1,Supermarket Type1,2467.4548
20.2,Regular,0.121748174,Snack Foods,96.9752,OUT018,7,Medium,Tier 3,Supermarket Type2,1725.7536
11.85,Low Fat,0.132939639,Dairy,98.0726,OUT045,14,Medium,Tier 2,Supermarket Type1,1761.7068
6.135,Regular,0.079327367,Baking Goods,152.8366,OUT046,19,Small,Tier 1,Supermarket Type1,2871.5954
9,Low Fat,0.065194971,Snack Foods,177.737,OUT013,29,High,Tier 3,Supermarket Type1,2117.244
17.5,Low Fat,0.026248606,Snack Foods,255.1356,OUT018,7,Medium,Tier 3,Supermarket Type2,3815.034
12.15,Low Fat,0.131921819,Frozen Foods,246.346,OUT017,9,Medium,Tier 2,Supermarket Type1,739.038
11,Regular,0,Frozen Foods,155.263,OUT049,17,Medium,Tier 1,Supermarket Type1,625.852
17.5,Low Fat,0.026865809,Frozen Foods,261.691,OUT035,12,Small,Tier 2,Supermarket Type1,4207.856
17.5,Low Fat,0.052740763,Snack Foods,103.799,OUT017,9,Medium,Tier 2,Supermarket Type1,1135.189
10.6,Low Fat,0.056748659,Dairy,233.6642,OUT013,29,High,Tier 3,Supermarket Type1,3950.1914
7.145,Low Fat,0.017822936,Frozen Foods,161.3578,OUT045,14,Medium,Tier 2,Supermarket Type1,1123.2046
20.7,Regular,0.07929647,Baking Goods,97.2042,OUT046,19,Small,Tier 1,Supermarket Type1,1686.4714
17.5,Low Fat,0.026195131,Snack Foods,252.6356,OUT045,14,Medium,Tier 2,Supermarket Type1,2543.356
17.7,Regular,0.042542484,Frozen Foods,161.921,OUT049,17,Medium,Tier 1,Supermarket Type1,2120.573
8.6,Regular,0.054474158,Breads,131.031,OUT035,12,Small,Tier 2,Supermarket Type1,1038.648
9.5,Regular,0,Frozen Foods,228.4668,OUT049,17,Medium,Tier 1,Supermarket Type1,3916.2356
17.7,Regular,0.122372504,Meat,101.5674,OUT018,7,Medium,Tier 3,Supermarket Type2,1629.8784
